Region,Soil Type,Crop Type,Rainfall_mm,Temperature(c),Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,Fertilizer Name
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,58.39,64.42,8,1,11,28-28
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,54.83,25.81,26,0,24,14-35-14
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,59.37,32.03,38,1,4,14-35-14
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,74.89,47.11,22,0,21,20-20
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,43.85,43.37,20,0,19,DAP
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,70.69,43.81,18,0,26,28-28
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,66.27,38.77,41,0,0,17-17-17
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,46.49,36.19,36,3,0,28-28
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,43.2,31.33,34,0,4,Urea
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,51.21,32.58,12,0,14,Urea
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,51.8,55.09,15,4,37,Urea
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,52.52,59.05,13,12,26,28-28
South,Sandy,Maize,716.3336741467552,21.0,True,True,Cloudy,100,6.785676344177504,57.62,34.24,11,15,11,20-20
South,Sandy,Maize,716.3336741467552,21.0,True,True,Cloudy,100,6.785676344177504,40.45,64.17,35,0,0,Urea
South,Sandy,Maize,716.3336741467552,21.0,True,True,Cloudy,100,6.785676344177504,48.03,43.37,4,14,15,20-20
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,56.6,34.03,18,2,40,14-35-14
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,49.23,49.23,28,0,19,20-20
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,69.27,26.9,18,0,37,14-35-14
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,55.51,28.28,12,2,17,28-28
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,56.61,58.53,37,0,0,17-17-17
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,49.61,28.76,11,7,28,14-35-14
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,55.54,33.3,13,0,10,28-28
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,50.73,39.1,19,2,14,DAP
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,47.26,33.63,16,1,43,14-35-14
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,49.9,41.72,38,0,0,17-17-17
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,63.51,24.19,41,0,0,10-26-26
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,60.38,20.0,6,8,33,20-20
West,Sandy,Wheat,258.94588015412216,31.0,False,False,Sunny,67,1.7583348752824697,60.89,34.53,30,0,0,10-26-26
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,62.0,44.0,21,0,28,28-28
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,55.45,59.87,12,0,37,14-35-14
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,67.83,68.19,26,0,15,17-17-17
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,60.79,41.51,1,13,13,14-35-14
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,48.4,35.57,13,8,32,10-26-26
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,48.39,33.21,40,1,0,14-35-14
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,64.47,59.18,34,0,2,17-17-17
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,62.69,55.11,17,0,8,14-35-14
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,56.32,45.45,8,0,9,17-17-17
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,50.57,52.14,9,3,27,10-26-26
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,58.12,24.71,25,1,19,Urea
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,64.88,54.37,1,8,27,28-28
South,Sandy,Barley,686.2816629510626,31.0,False,True,Cloudy,83,4.7346596833487045,65.45,31.98,22,0,20,DAP
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,56.39,37.84,13,4,6,10-26-26
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,53.18,42.19,19,3,33,DAP
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,45.99,64.48,42,1,0,14-35-14
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,65.49,61.86,10,10,12,20-20
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,59.26,51.55,15,0,12,28-28
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,48.75,47.25,10,9,12,DAP
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,51.34,33.38,38,2,1,28-28
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,54.58,36.36,20,2,20,10-26-26
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,55.08,28.55,9,20,22,10-26-26
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,56.76,20.0,12,0,39,Urea
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,58.85,54.14,12,14,12,DAP
South,Sandy,Cotton,250.55746244447292,29.0,True,True,Sunny,135,3.8003369433081593,46.93,59.62,12,0,4,20-20
East,Sandy,Barley,904.5084595452252,39.0,True,True,Sunny,64,8.209796225267308,73.55,37.74,12,1,41,10-26-26
East,Sandy,Barley,904.5084595452252,39.0,True,True,Sunny,64,8.209796225267308,73.58,47.49,44,0,4,14-35-14
East,Sandy,Barley,904.5084595452252,39.0,True,True,Sunny,64,8.209796225267308,63.45,47.15,12,14,19,17-17-17
North,Sandy,Cotton,504.6403234652408,24.0,False,False,Rainy,86,3.514597289594972,56.8,34.97,23,1,15,14-35-14
North,Sandy,Cotton,504.6403234652408,24.0,False,False,Rainy,86,3.514597289594972,58.67,52.83,16,2,39,Urea
North,Sandy,Cotton,504.6403234652408,24.0,False,False,Rainy,86,3.514597289594972,56.1,31.14,40,0,1,10-26-26
North,Sandy,Cotton,504.6403234652408,24.0,False,False,Rainy,86,3.514597289594972,59.41,55.3,0,15,10,14-35-14
North,Sandy,Cotton,504.6403234652408,24.0,False,False,Rainy,86,3.514597289594972,45.65,30.81,38,0,0,20-20
North,Sandy,Cotton,267.8233629912821,20.0,False,True,Rainy,61,3.408026143730274,46.55,35.51,28,0,21,DAP
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,64.0,51.0,5,9,29,14-35-14
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,69.66,51.62,36,0,4,Urea
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,50.38,53.63,8,6,37,17-17-17
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,65.19,50.69,26,1,16,DAP
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,55.73,60.55,10,15,18,Urea
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,68.09,43.83,10,20,20,DAP
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,61.58,56.87,24,0,23,14-35-14
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,56.59,20.08,15,0,35,14-35-14
North,Sandy,Maize,597.2721477216519,33.0,False,False,Rainy,73,3.836426804066729,56.31,25.41,18,0,23,20-20
North,Sandy,Barley,167.87204211200498,34.0,False,False,Sunny,66,1.612673894750323,59.89,59.4,28,4,22,10-26-26
North,Sandy,Barley,167.87204211200498,34.0,False,False,Sunny,66,1.612673894750323,67.02,41.72,37,0,1,28-28
North,Sandy,Barley,167.87204211200498,34.0,False,False,Sunny,66,1.612673894750323,71.07,65.13,9,8,19,20-20
North,Sandy,Barley,167.87204211200498,34.0,False,False,Sunny,66,1.612673894750323,58.7,28.33,11,0,18,Urea
North,Sandy,Barley,167.87204211200498,34.0,False,False,Sunny,66,1.612673894750323,55.64,37.76,37,2,0,10-26-26
North,Sandy,Barley,167.87204211200498,34.0,False,False,Sunny,66,1.612673894750323,68.13,39.85,24,0,21,20-20
North,Sandy,Barley,167.87204211200498,34.0,False,False,Sunny,66,1.612673894750323,73.42,43.02,45,0,0,20-20
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,64.62,26.9,5,5,26,14-35-14
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,52.08,65.93,6,0,34,28-28
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,49.84,30.21,11,13,31,20-20
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,49.22,58.28,12,8,28,Urea
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,53.77,41.62,45,0,0,10-26-26
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,63.58,64.23,14,4,10,20-20
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,61.7,52.14,5,8,31,28-28
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,56.96,39.27,32,0,1,10-26-26
West,Sandy,Barley,317.2054032086937,24.0,True,True,Sunny,75,3.724724977559221,61.39,39.84,18,0,21,14-35-14
West,Sandy,Wheat,516.6737563569112,22.0,False,True,Cloudy,113,3.939059889860661,60.21,36.97,18,3,25,20-20
West,Sandy,Wheat,516.6737563569112,22.0,False,True,Cloudy,113,3.939059889860661,52.77,39.99,18,0,18,Urea
West,Sandy,Wheat,516.6737563569112,22.0,False,True,Cloudy,113,3.939059889860661,58.85,40.66,7,14,24,10-26-26
West,Sandy,Wheat,516.6737563569112,22.0,False,True,Cloudy,113,3.939059889860661,55.73,44.87,20,0,17,DAP
West,Sandy,Wheat,516.6737563569112,22.0,False,True,Cloudy,113,3.939059889860661,49.65,29.74,20,2,15,DAP
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,61.9,32.87,41,3,1,28-28
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,56.48,24.69,41,0,0,DAP
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,73.31,26.07,8,0,18,20-20
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,59.46,64.44,6,0,16,28-28
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,74.86,57.18,19,0,42,Urea
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,59.19,26.58,16,0,32,14-35-14
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,66.5,37.64,19,1,28,14-35-14
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,52.94,35.23,19,2,18,Urea
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,60.97,44.56,8,12,20,20-20
West,Sandy,Wheat,458.9578967201652,33.0,False,True,Cloudy,143,4.0146005289268025,55.28,55.87,6,4,32,28-28
East,Sandy,Barley,330.79499240333143,38.0,False,True,Sunny,135,3.2869461607322696,77.51,43.0,40,4,0,DAP
East,Sandy,Barley,330.79499240333143,38.0,False,True,Sunny,135,3.2869461607322696,70.77,25.82,20,0,22,Urea
East,Sandy,Barley,330.79499240333143,38.0,False,True,Sunny,135,3.2869461607322696,73.81,59.76,41,0,1,Urea
East,Sandy,Cotton,970.6082169277832,26.0,False,True,Rainy,123,6.241291050360108,52.62,22.27,8,1,43,17-17-17
East,Sandy,Cotton,970.6082169277832,26.0,False,True,Rainy,123,6.241291050360108,63.42,24.65,13,1,42,17-17-17
East,Sandy,Cotton,970.6082169277832,26.0,False,True,Rainy,123,6.241291050360108,57.87,57.72,36,0,2,14-35-14
East,Sandy,Cotton,970.6082169277832,26.0,False,True,Rainy,123,6.241291050360108,59.25,36.27,36,0,0,10-26-26
East,Sandy,Cotton,970.6082169277832,26.0,False,True,Rainy,123,6.241291050360108,53.99,20.0,12,14,12,17-17-17
East,Sandy,Cotton,970.6082169277832,26.0,False,True,Rainy,123,6.241291050360108,61.18,44.59,37,0,3,14-35-14
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,68.62,46.27,9,0,39,DAP
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,47.55,65.62,40,0,0,17-17-17
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,62.14,37.45,21,0,19,10-26-26
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,61.58,33.57,11,0,16,DAP
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,63.26,43.38,32,0,0,10-26-26
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,69.59,26.75,3,8,26,28-28
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,56.05,30.48,12,3,41,20-20
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,65.21,33.52,9,18,11,10-26-26
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,44.44,50.65,25,0,14,28-28
West,Sandy,Wheat,643.7405071531579,27.0,True,True,Rainy,99,6.554635347665477,55.45,46.99,27,3,24,28-28
South,Sandy,Cotton,382.35352597395695,31.0,False,True,Sunny,72,3.553741145,55.48,46.43,34,0,2,Urea
South,Sandy,Cotton,382.35352597395695,31.0,False,True,Sunny,72,3.553741145,66.9,49.75,14,16,15,17-17-17
South,Sandy,Cotton,382.35352597395695,31.0,False,True,Sunny,72,3.553741145,55.22,24.37,12,0,35,Urea
South,Sandy,Cotton,382.35352597395695,31.0,False,True,Sunny,72,3.553741145,53.09,66.97,13,8,28,Urea
South,Sandy,Cotton,382.35352597395695,31.0,False,True,Sunny,72,3.553741145,64.16,61.68,8,17,14,Urea
South,Sandy,Cotton,382.35352597395695,31.0,False,True,Sunny,72,3.553741145,67.97,36.56,8,11,27,17-17-17
South,Sandy,Cotton,382.35352597395695,31.0,False,True,Sunny,72,3.553741145,60.88,24.64,17,0,16,Urea
East,Sandy,Maize,711.0978530704944,37.0,True,False,Rainy,106,4.756412773110849,70.59,66.29,8,2,17,20-20
East,Sandy,Maize,711.0978530704944,37.0,True,False,Rainy,106,4.756412773110849,56.44,61.31,6,13,31,17-17-17
East,Sandy,Maize,711.0978530704944,37.0,True,False,Rainy,106,4.756412773110849,61.41,60.83,8,13,16,14-35-14
East,Sandy,Barley,526.4331074301481,33.0,False,True,Cloudy,102,3.7023758584646096,51.22,37.76,27,1,19,17-17-17
East,Sandy,Barley,526.4331074301481,33.0,False,True,Cloudy,102,3.7023758584646096,59.04,44.65,12,18,16,DAP
East,Sandy,Barley,526.4331074301481,33.0,False,True,Cloudy,102,3.7023758584646096,72.18,53.83,15,15,12,DAP
East,Sandy,Barley,526.4331074301481,33.0,False,True,Cloudy,102,3.7023758584646096,58.1,55.98,9,12,26,Urea
East,Sandy,Barley,526.4331074301481,33.0,False,True,Cloudy,102,3.7023758584646096,69.07,48.24,41,0,0,14-35-14
East,Sandy,Barley,526.4331074301481,33.0,False,True,Cloudy,102,3.7023758584646096,54.32,35.7,9,2,8,Urea
East,Sandy,Barley,526.4331074301481,33.0,False,True,Cloudy,102,3.7023758584646096,62.99,50.43,10,0,9,20-20
East,Sandy,Barley,901.8445785,26.0,False,False,Cloudy,78,5.0639346892523545,52.0,35.0,12,10,13,17-17-17
East,Sandy,Barley,901.8445785,26.0,False,False,Cloudy,78,5.0639346892523545,50.63,43.0,28,0,14,10-26-26
East,Sandy,Barley,901.8445785,26.0,False,False,Cloudy,78,5.0639346892523545,59.61,29.75,31,1,1,28-28
East,Sandy,Barley,901.8445785,26.0,False,False,Cloudy,78,5.0639346892523545,68.27,47.59,12,0,15,10-26-26
